Lat,Long
3.49E-01,7.64E-01
1.00E+00,1.00E-01
3.67E-01,4.96E-01
3.97E-01,7.02E-01
4.67E-01,3.96E-01
4.93E-01,5.61E-01
5.56E-01,9.16E-01
4.97E-01,8.85E-01
4.92E-01,8.69E-01
2.55E-01,8.07E-01
3.47E-01,7.98E-01
6.64E-02,0.00E+00
6.19E-01,4.64E-01
5.14E-01,7.37E-01
5.14E-01,7.69E-01
5.66E-01,6.91E-01
4.82E-01,6.41E-01
4.61E-01,7.80E-01
3.06E-01,7.09E-01
6.30E-01,9.50E-01
4.95E-01,8.73E-01
5.67E-01,9.29E-01
6.14E-01,7.81E-01
6.50E-01,6.80E-01
3.46E-01,7.32E-01
4.81E-01,7.01E-01
6.84E-01,5.15E-01
5.49E-01,6.31E-01
5.00E-01,4.30E-01
6.01E-01,9.28E-01
5.25E-01,8.95E-01
3.88E-01,5.57E-01
5.79E-01,8.86E-01
4.14E-01,8.42E-01
6.94E-01,6.18E-01
5.25E-01,8.06E-01
4.11E-01,6.50E-01
6.25E-01,3.88E-01
5.37E-01,8.62E-01
0.00E+00,9.84E-01
5.57E-01,9.29E-01
3.74E-01,8.26E-01
6.20E-01,6.28E-01
4.20E-01,7.70E-01
3.19E-01,6.35E-01
5.10E-01,4.95E-01
6.17E-01,9.16E-01
2.29E-03,1.00E+00
4.60E-01,8.53E-01
6.90E-01,3.96E-01
4.90E-01,8.30E-01
6.23E-01,7.31E-01
5.91E-01,5.43E-01